name,star,ratings,reviews,cprice,mrp,storage,display,processor,imageUrl
MOTOROLA G32 (Mineral Gray 128 GB),4.1,63928,5510,9999,18999,8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,Qualcomm Snapdragon 680 Processor,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/j/j/-original-imagnvvwvzyhfvx9.jpeg?q=70
APPLE iPhone 14 (Blue 128 GB),4.6,52723,1975,56999,69900,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70
OnePlus Nord CE 2 Lite 5G (Blue Tide 128 GB),4.4,115,791,18199,19999,6 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Display,12 Months,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/w/k/-original-imagg2abzhxjckxu.jpeg?q=70
MOTOROLA e13 (Aurora Green 128 GB),4,3219,221,7499,10999,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,Unisoc T606 Processor,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/y/n/-original-imagshuzkeurgwd8.jpeg?q=70
MOTOROLA e13 (Aurora Green 64 GB),4,55619,4559,6499,10999,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,Unisoc T606 Processor,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/8/5/-original-imagmmmhmjpfvbry.jpeg?q=70
MOTOROLA g84 5G (Midnight Blue 256 GB),4.1,4758,552,17999,22999,12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,Snapdragon 695 Processor,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/a/i/g84-5g-paym0016in-motorola-original-imagsy5u8nmttezf.jpeg?q=70
MOTOROLA g84 5G (Marshmallow Blue 256 GB),4.1,4758,552,17999,22999,12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,Snapdragon 695 Processor,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/2/y/g84-5g-paym0017in-motorola-original-imagsyd2hzd63rr7.jpeg?q=70
SAMSUNG Galaxy F04 (Opal Green 64 GB),4.2,47376,2708,6499,11499,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD Display,Mediatek Helio P35 Processor,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/d/o/-original-imaghgbyhy6banxv.jpeg?q=70
MOTOROLA g84 5G (Viva Magneta 256 GB),4.1,4758,552,17999,22999,12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,Snapdragon 695 Processor,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/5/e/3/g84-5g-paym0018in-motorola-original-imagsy5zmhvkcfsx.jpeg?q=70
Infinix Note 30 5G (Sunset Gold 128 GB),4.1,2821,307,13499,17999,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.22 cm (6.78 inch) Full HD+ Display,Dimensity 6080 Processor,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/t/k/note-30-5g-x6711-infinix-original-imagqdvvw4pwdtmk.jpeg?q=70
SAMSUNG Galaxy F04 (Jade Purple 64 GB),4.2,47376,2708,6499,11499,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD Display,Mediatek Helio P35 Processor,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/p/9/-original-imaghgbyypzkzvud.jpeg?q=70
vivo T2x 5G (Glimmer Black 128 GB),4.3,32218,1990,14999,20999,8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,Dimensity 6020 Processor,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
vivo T2x 5G (Marine Blue 128 GB),4.3,32218,1990,14999,20999,8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,Dimensity 6020 Processor,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
vivo T2x 5G (Aurora Gold 128 GB),4.3,32218,1990,14999,20999,8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,Dimensity 6020 Processor,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
vivo T2x 5G (Glimmer Black 128 GB),4.4,152,212,12999,18999,6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,Dimensity 6020 Processor,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
MOTOROLA G32 (Satin Silver 128 GB),4.1,63928,5510,9999,18999,8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,Qualcomm Snapdragon 680 Processor,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/m/4/-original-imagnvvws9fmzgtb.jpeg?q=70
vivo T2x 5G (Marine Blue 128 GB),4.4,152,212,12999,18999,6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,Dimensity 6020 Processor,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
